,movidID,title,price,publisher,category,actor,audience_rating,brand,director,feature,genre,release_date
0,310263662,The Passion of the Christ,10.14,Zondervan,DVD,,,Provident Distribution Group,,,Performing Arts,8/31/04
1,767002652,Upstairs Downstairs - The Premiere Season [VHS],9.99,A&E Home Video,Video,Pauline Collins,NR (Not Rated),,Bill Bain,,,1/15/98
2,076780192X,Close Encounters of the Third Kind (Widescreen Edition) [VHS],8.49,Sony Pictures Home E,Video,Richard Dreyfuss,PG (Parental Guidance Suggested),,Steven Spielberg,,,8/29/00
3,767802470,Das Boot - The Director's Cut,9.99,Sony Pictures Home Entertainment,DVD,Herbert Gronemeyer,R (Restricted),Columbia/Tristar Studios,Wolfgang Petersen,Factory sealed DVD,Drama,12/9/97
4,767802519,Das Boot - The Director's Cut,9.99,Sony Pictures Home Entertainment,DVD,Herbert Gronemeyer,R (Restricted),Columbia/Tristar Studios,Wolfgang Petersen,Factory sealed DVD,Drama,12/9/97
5,767802624,Men in Black (Collector's Series),1.98,Sony Pictures Home Entertainment,DVD,Linda Fiorentino,PG-13 (Parents Strongly Cautioned),Sony,Barry Sonnenfeld,,,1/1/02
6,767802659,Men in Black (Collector's Series),1.98,Sony Pictures Home Entertainment,DVD,Linda Fiorentino,PG-13 (Parents Strongly Cautioned),Sony,Barry Sonnenfeld,,,1/1/02
7,767805267,Fifth Element [VHS],4.75,Sony Pictures,Video,Bruce Willis,PG-13 (Parents Strongly Cautioned),Columbia Pictures,Luc Besson,,,4/28/98
8,767811100,Fifth Element [VHS],4.75,Sony Pictures,Video,Bruce Willis,PG-13 (Parents Strongly Cautioned),Columbia Pictures,Luc Besson,,,4/28/98
9,767824571,Monty Python and the Holy Grail,14.1,Sony Pictures,DVD,Graham Chapman,PG (Parental Guidance Suggested),,Terry Gilliam,,,9/7/99
10,767830520,Monty Python and the Holy Grail,14.1,Sony Pictures,DVD,Graham Chapman,PG (Parental Guidance Suggested),,Terry Gilliam,,,9/7/99
11,767834739,Resident Evil: Apocalypse (Special Edition),7.99,Sony Pictures Home Entertainment,DVD,Milla Jovovich,R (Restricted),Sony,Alaxander Witt,Factory sealed DVD,,12/28/04
12,767849493,Dogma [VHS],12.2,Sony Pictures,Video,Ben Affleck,R (Restricted),,Kevin Smith,Dogma [VHS],,10/24/00
13,780020685,Seven Samurai (Criterion Collection Spine #2),54.94,,DVD,,Unrated (Not Rated),,,,Drama,
14,780022300,Seven Samurai (Criterion Collection Spine #2),54.94,,DVD,,Unrated (Not Rated),,,,Drama,
15,780618556,Seven Samurai (Criterion Collection Spine #2),54.94,,DVD,,Unrated (Not Rated),,,,Drama,
16,780619412,Seven Samurai (Criterion Collection Spine #2),54.94,,DVD,,Unrated (Not Rated),,,,Drama,
17,780622545,Seven Samurai (Criterion Collection Spine #2),54.94,,DVD,,Unrated (Not Rated),,,,Drama,
18,780623134,Seven Samurai (Criterion Collection Spine #2),54.94,,DVD,,Unrated (Not Rated),,,,Drama,
19,780625129,Seven Samurai (Criterion Collection Spine #2),54.94,,DVD,,Unrated (Not Rated),,,,Drama,
20,078062565X,Seven Samurai (Criterion Collection Spine #2),54.94,,DVD,,Unrated (Not Rated),,,,Drama,
21,780628799,Seven Samurai (Criterion Collection Spine #2),54.94,,DVD,,Unrated (Not Rated),,,,Drama,
22,780631153,Seven Samurai (Criterion Collection Spine #2),54.94,,DVD,,Unrated (Not Rated),,,,Drama,
23,782002064,Seven Samurai (Criterion Collection Spine #2),54.94,,DVD,,Unrated (Not Rated),,,,Drama,
24,783211856,Seven Samurai (Criterion Collection Spine #2),54.94,,DVD,,Unrated (Not Rated),,,,Drama,
25,783216084,Seven Samurai (Criterion Collection Spine #2),54.94,,DVD,,Unrated (Not Rated),,,,Drama,
26,783219695,Apollo 13 (Widescreen 2-Disc Anniversary Edition),2.55,Universal Studios Home Entertainment,DVD,Tom Hanks,PG (Parental Guidance Suggested),Apollo,Ron Howard,,Science Fiction,3/29/05
27,783221088,Vertigo (Widescreen Edition) [VHS],6.99,Universal Studios,Video,James Stewart,PG (Parental Guidance Suggested),,,,,3/25/97
28,783221487,Vertigo (Widescreen Edition) [VHS],6.99,Universal Studios,Video,James Stewart,PG (Parental Guidance Suggested),,,,,3/25/97
29,783222734,Jurassic Park (Widescreen Edition) [VHS],21.95,Universal Studios,Video,Sam Neill,PG-13 (Parents Strongly Cautioned),,Steven Spielberg,,,9/9/97
30,783222955,To Kill a Mockingbird (Widescreen) [VHS],1.73,Universal Studios,Video,Gregory Peck,NR (Not Rated),Universal International Home Video,Robert Mulligan,American Racism,,2/24/98
31,783225199,To Kill a Mockingbird (Widescreen) [VHS],1.73,Universal Studios,Video,Gregory Peck,NR (Not Rated),Universal International Home Video,Robert Mulligan,American Racism,,2/24/98
32,783225792,Casino,14.55,Universal Studios Home Entertainment,DVD,Robert De Niro,R (Restricted),,Martin Scorsese,,,2/24/98
33,783225849,Casino,14.55,Universal Studios Home Entertainment,DVD,Robert De Niro,R (Restricted),,Martin Scorsese,,,2/24/98
34,783225970,Scarface (Collector's Edition),27.49,Universal Studios Home Entertainment,DVD,Al Pacino,R (Restricted),,Brian De Palma,,,3/31/98
35,078322687X,Scarface (Collector's Edition),27.49,Universal Studios Home Entertainment,DVD,Al Pacino,R (Restricted),,Brian De Palma,,,3/31/98
36,783227434,Scarface (Collector's Edition),27.49,Universal Studios Home Entertainment,DVD,Al Pacino,R (Restricted),,Brian De Palma,,,3/31/98
37,783227507,Scarface (Collector's Edition),27.49,Universal Studios Home Entertainment,DVD,Al Pacino,R (Restricted),,Brian De Palma,,,3/31/98
38,783228015,Scarface (Collector's Edition),27.49,Universal Studios Home Entertainment,DVD,Al Pacino,R (Restricted),,Brian De Palma,,,3/31/98
39,783235666,The Birds (The Alfred Hitchcock Collection) [VHS],4.89,Universal Studios,Video,Rod Taylor,PG-13 (Parents Strongly Cautioned),,Alfred Hitchcock,"370 trick shots, 32 separate shots in the final scene",,8/3/99
40,783239408,Belleza Americana  (American Beauty) [VHS],,Paramount Home Video,Video,Kevin Spacey,R (Restricted),,Sam Mendes,,,5/9/00
41,783241038,Belleza Americana  (American Beauty) [VHS],,Paramount Home Video,Video,Kevin Spacey,R (Restricted),,Sam Mendes,,,5/9/00
42,783241542,American Pie - Rated Edition (Special Edition) [VHS],1.4,Universal Pictures,Video,Jason Biggs,R (Restricted),,Chris Weitz,,,5/16/00
43,783243499,American Psycho [VHS],3.47,Universal Studios Ho,Video,Christian Bale,Unrated (Not Rated),,Mary Harron,,,1/16/01
44,784010188,Terminator 2: Judgment Day,11.49,Live / Artisan,DVD,Arnold Schwarzenegger,R (Restricted),,James Cameron,,,10/22/97
45,784010218,Terminator 2: Judgment Day,11.49,Live / Artisan,DVD,Arnold Schwarzenegger,R (Restricted),,James Cameron,,,10/22/97
46,784010315,Terminator 2: Judgment Day,11.49,Live / Artisan,DVD,Arnold Schwarzenegger,R (Restricted),,James Cameron,,,10/22/97
47,784011796,Pi [VHS],4.95,Live / Artisan,Video,Sean Gullette,R (Restricted),,Darren Aronofsky,,,3/15/00
48,784011923,Pi [VHS],4.95,Live / Artisan,Video,Sean Gullette,R (Restricted),,Darren Aronofsky,,,3/15/00
49,788802194,Pi [VHS],4.95,Live / Artisan,Video,Sean Gullette,R (Restricted),,Darren Aronofsky,,,3/15/00
50,078881172X,Pi [VHS],4.95,Live / Artisan,Video,Sean Gullette,R (Restricted),,Darren Aronofsky,,,3/15/00
51,788812408,The Little Mermaid (Fully Restored Special Edition) [VHS],2.93,Walt Disney Home Video,Video,Jodi Benson,G (General Audience),Disney,John Musker,Fully Restored Special Edition,Kids & Family,3/31/98
52,788812807,The Little Mermaid (Fully Restored Special Edition) [VHS],2.93,Walt Disney Home Video,Video,Jodi Benson,G (General Audience),Disney,John Musker,Fully Restored Special Edition,Kids & Family,3/31/98
